source,target,value
Seattle,San Francisco,817
Seattle,Salt Lake City,883
Seattle,Minneapolis,1641
Seattle,Omaha,1705
San Francisco,Seattle,817
San Francisco,Los Angeles,403
San Francisco,Salt Lake City,754
Los Angeles,San Francisco,403
Los Angeles,Salt Lake City,728
Los Angeles,Phoenix,398
Phoenix,Los Angeles,398
Phoenix,Salt Lake City,651
Phoenix,El Paso,402
Phoenix,Denver,836
Salt Lake City,Seattle,883
Salt Lake City,Denver,512
Salt Lake City,San Francisco,754
Salt Lake City,Los Angeles,728
Salt Lake City,Phoenix,651
Denver,Salt Lake City,512
Denver,El Paso,652
Denver,Omaha,559
Denver,Kansas City,616
Denver,Dallas,801
Denver,Phoenix,836
El Paso,Phoenix,402
El Paso,Denver,652
El Paso,Dallas,625
El Paso,Houston,756
Dallas,Houston,242
Dallas,El Paso,625
Dallas,Memphis,470
Dallas,Kansas City,508
Kansas City,Denver,616
Kansas City,Omaha,204
Kansas City,Dallas,508
Kansas City,Memphis,454
Kansas City,St. Louis,255
Omaha,Denver,559
Omaha,Kansas City,204
Omaha,Minneapolis,373
Omaha,Chicago,493
Houston,New Orleans,365
Houston,Dallas,242
Houston,El Paso,756
Minneapolis,Omaha,373
Minneapolis,Chicago,411
Minneapolis,St. Louis,559
St. Louis,Minneapolis,559
St. Louis,Kansas City,255
St. Louis,Memphis,295
St. Louis,Chicago,293
St. Louis,Indianapolis,239
St. Louis,Chicago,293
St. Louis,Louisville,264
Memphis,St. Louis,295
Memphis,Kansas City,454
Memphis,Dallas,470
Memphis,New Orleans,401
Memphis,Birmingham,249
Memphis,Louisville,396
New Orleans,Houston,365
New Orleans,Birmingham,347
New Orleans,Miami,892
New Orleans,Memphis,401
Chicago,Minneapolis,411
Chicago,Detroit,279
Chicago,Cleveland,344
Chicago,St. Louis,293
Chicago,Indianapolis,189
Chicago,Omaha,493
Indianapolis,Chicago,189
Indianapolis,St. Louis,239
Indianapolis,Louisville,114
Indianapolis,Cleveland,318
Indianapolis,Detroit,290
Birmingham,Memphis,249
Birmingham,New Orleans,347
Birmingham,Miami,777
Birmingham,Louisville,378
Birmingham,Washington,751
Louisville,Indianapolis,114
Louisville,St. Louis,264
Louisville,Memphis,396
Louisville,Birmingham,378
Louisville,Pittsburgh,416
Louisville,Washington,601
Detroit,Chicago,279
Detroit,Cleveland,175
Detroit,Buffalo,252
Detroit,Indianapolis,290
Cleveland,Detroit,175
Cleveland,Chicago,344
Cleveland,Pittsburgh,131
Cleveland,Indianapolis,318
Cleveland,Buffalo,192
Pittsburgh,Cleveland,131
Pittsburgh,Indianapolis,360
Pittsburgh,Buffalo,219
Pittsburgh,Philadelphia,304
Pittsburgh,Washington,241
Pittsburgh,Louisville,416
Buffalo,Cleveland,192
Buffalo,Pittsburgh,219
Buffalo,New York,436
Buffalo,Boston,457
Buffalo,Detroit,252
Buffalo,Washington,386
Buffalo,Philadelphia,383
Washington,Buffalo,386
Washington,Pittsburgh,241
Washington,Philadelphia,140
Washington,Miami,1101
Washington,Louisville,601
Washington,Birmingham,751
Miami,Washington,1101
Miami,New Orleans,892
Miami,Birmingham,777
Philadelphia,Washington,140
Philadelphia,New York,93
Philadelphia,Pittsburgh,304
Philadelphia,Buffalo,383
New York,Philadelphia,93
New York,Boston,213
New York,Buffalo,436
Boston,New York,213
Boston,Buffalo,457
