name	lat	lon
Chicago	41.8781136	-87.6297982
Boston	42.3600825	-71.0588801
Buffalo	42.88644679999999	-78.8783689
Birmingham	33.5206608	-86.80248999999999
Cleveland	41.49932	-81.6943605
Dallas	32.7766642	-96.79698789999999
Detroit	42.331427	-83.0457538
Denver	39.7392358	-104.990251
El Paso	31.7775757	-106.4424559
Houston	29.7604267	-95.3698028
Indianapolis	39.768403	-86.158068
Kansas City	39.0997265	-94.5785667
Memphis	35.1495343	-90.0489801
Louisville	38.2526647	-85.7584557
Los Angeles	34.0522342	-118.2436849
Miami	25.7616798	-80.1917902
Minneapolis	44.977753	-93.2650108
Omaha	41.2523634	-95.99798829999999
New York	40.7127837	-74.0059413
New Orleans	29.95106579999999	-90.0715323
Philadelphia	39.9525839	-75.1652215
Salt Lake City	40.7607793	-111.8910474
St. Louis	38.6270025	-90.19940419999999
Phoenix	33.4483771	-112.0740373
Pittsburgh	40.44062479999999	-79.9958864
San Francisco	37.7749295	-122.4194155
Seattle	47.6062095	-122.3320708
Washington	38.9071923	-77.0368707
