route_id,service_id,trip_id,direction_id,block_id,shape_id,direction,wheelchair_accessible,schd_trip_id
1,44001,440080421451,0,440008468116,4406351,South,1,80421451
1,44001,440080421516,1,440008468101,4406353,North,1,80421516
1,44001,440080421517,1,440008468112,4406353,North,1,80421517
1,44001,440080421518,0,440008468115,4406351,South,1,80421518
1,44001,440080421519,1,440008468104,4406353,North,1,80421519
1,44001,440080421520,1,440008468118,4406353,North,1,80421520
1,44001,440080421521,0,440008468110,4406351,South,1,80421521
1,44001,440080421522,1,440008468100,4406353,North,1,80421522
1,44001,440080421523,0,440008468111,4406351,South,1,80421523
1,44001,440080421524,1,440008468110,4406353,North,1,80421524
1,44001,440080421525,0,440008468113,4406351,South,1,80421525
1,44001,440080421526,0,440008468110,4406351,South,1,80421526
1,44001,440080421527,0,440008468118,4406351,South,1,80421527
1,44001,440080421528,0,440008468119,4406351,South,1,80421528
1,44001,440080421529,0,440008468111,4406351,South,1,80421529
1,44001,440080421530,1,440008468118,4406353,North,1,80421530
1,44001,440080421531,1,440008468119,4406353,North,1,80421531
1,44001,440080421532,1,440008468116,4406353,North,1,80421532
1,44001,440080421533,0,440008468106,4406351,South,1,80421533
1,44001,440080421534,1,440008468111,4406353,North,1,80421534
1,44001,440080421535,0,440008468104,4406351,South,1,80421535
1,44001,440080421536,1,440008468106,4406353,North,1,80421536
1,44001,440080421537,1,440008468119,4406353,North,1,80421537
1,44001,440080421538,0,440008468106,4406351,South,1,80421538
1,44001,440080421539,1,440008468116,4406353,North,1,80421539
1,44001,440080421540,0,440008468109,4406351,South,1,80421540
1,44001,440080421541,1,440008468117,4406353,North,1,80421541
1,44001,440080421542,1,440008468119,4406353,North,1,80421542
1,44001,440080421543,0,440008468104,4406351,South,1,80421543
1,44001,440080421544,1,440008468101,4406353,North,1,80421544
1,44001,440080421545,1,440008468100,4406353,North,1,80421545
1,44001,440080421546,1,440008468110,4406353,North,1,80421546
1,44001,440080421547,0,440008468110,4406351,South,1,80421547
1,44001,440080421548,1,440008468113,4406353,North,1,80421548
1,44001,440080421549,1,440008468116,4406353,North,1,80421549
1,44001,440080421550,1,440008468111,4406353,North,1,80421550
1,44001,440080421551,0,440008468119,4406351,South,1,80421551
1,44001,440080421552,0,440008468119,4406351,South,1,80421552
1,44001,440080421553,0,440008468111,4406351,South,1,80421553
1,44001,440080421554,0,440008468115,4406351,South,1,80421554
1,44001,440080421555,1,440008468117,4406353,North,1,80421555
1,44001,440080421556,1,440008468112,4406353,North,1,80421556
1,44001,440080421557,0,440008468114,4406351,South,1,80421557
1,44001,440080421558,1,440008468114,4406353,North,1,80421558
1,44001,440080421559,0,440008468112,4406351,South,1,80421559
1,44001,440080421560,1,440008468118,4406353,North,1,80421560
1,44001,440080421561,0,440008468118,4406351,South,1,80421561
1,44001,440080421562,1,440008468104,4406353,North,1,80421562
1,44001,440080421563,1,440008468101,4406353,North,1,80421563
1,44001,440080421564,1,440008468120,4406353,North,1,80421564
1,44001,440080421565,0,440008468116,4406351,South,1,80421565
1,44001,440080421566,0,440008468117,4406351,South,1,80421566
1,44001,440080421567,0,440008468101,4406351,South,1,80421567
1,44001,440080421568,1,440008468109,4406353,North,1,80421568
1,44001,440080421569,1,440008468120,4406353,North,1,80421569
1,44001,440080421570,1,440008468115,4406353,North,1,80421570
1,44001,440080421571,1,440008468109,4406353,North,1,80421571
1,44001,440080421572,1,440008468115,4406353,North,1,80421572
1,44001,440080421573,0,440008468116,4406351,South,1,80421573
1,44001,440080421574,1,440008468110,4406353,North,1,80421574
1,44001,440080421575,1,440008468112,4406353,North,1,80421575
1,44001,440080421576,0,440008468109,4406351,South,1,80421576
1,44001,440080421577,1,440008468101,4406353,North,1,80421577
1,44001,440080421578,1,440008468109,4406353,North,1,80421578
1,44001,440080421691,1,440008468111,4406353,North,1,80421691
1,44001,440080421692,0,440008468118,4406351,South,1,80421692
10,44006,440080280706,1,440008456990,4403721,North,1,80280706
10,44006,440080280707,1,440008456988,4403721,North,1,80280707
10,44006,440080280708,1,440008456989,4403721,North,1,80280708
10,44006,440080280709,1,440008456990,4403721,North,1,80280709
10,44006,440080280710,1,440008456988,4403721,North,1,80280710
10,44006,440080280711,1,440008456989,4403721,North,1,80280711
10,44006,440080280712,1,440008456990,4403721,North,1,80280712
10,44006,440080280713,1,440008456988,4403721,North,1,80280713
10,44006,440080280714,1,440008456989,4403721,North,1,80280714
10,44006,440080280715,1,440008456990,4403721,North,1,80280715
10,44006,440080280716,1,440008456988,4403721,North,1,80280716
10,44006,440080280717,1,440008456989,4403721,North,1,80280717
10,44006,440080280718,1,440008456990,4403721,North,1,80280718
10,44006,440080280719,1,440008456988,4403721,North,1,80280719
10,44006,440080280720,1,440008456989,4403721,North,1,80280720
10,44006,440080280721,0,440008456990,4403720,South,1,80280721
